"","L","US","rep","dem","female","employed","nonhispanic_white","bachelors","above_median_income","zip"
"1441",2,2,0,1,1,1,0,1,0,98201
"1442",1,2,0,0,0,1,1,1,1,33305
"1443",9,9,0,0,0,1,1,1,0,17352
"1444",7,10,0,1,1,0,0,1,0,60544
"1445",7,7,0,1,1,1,0,1,1,85028
"1446",4,4,1,0,1,1,1,1,0,52325
"1447",6,3,0,1,1,1,1,0,1,22556
"1448",2,3,0,0,0,1,1,0,1,7062
"1449",8,8,0,1,1,1,1,0,0,40219
"1450",8,8,0,1,1,0,1,1,0,62521
"1451",5,8,0,1,1,1,1,0,0,48228
"1452",3,4,0,0,1,1,1,0,0,8846
"1453",6,6,0,1,0,1,0,1,1,98387
"1454",9,9,1,0,1,1,0,0,0,71055
"1455",1,1,0,0,0,1,1,1,1,7030
"1456",9,8,0,1,1,1,1,1,0,37601
"1457",3,7,0,0,0,1,1,0,1,55433
"1458",10,10,0,1,0,1,1,0,1,41042
"1459",0,1,1,0,0,1,1,1,1,60451
"1460",10,10,0,1,1,1,0,0,0,32817
"1461",2,3,1,0,1,1,1,1,1,19104
"1462",0,0,0,0,0,1,1,1,1,20906
"1463",2,2,0,0,0,1,1,1,1,10312
"1464",6,8,NA,NA,1,0,1,1,0,97223
"1465",1,1,0,0,0,1,1,1,1,67017
"1466",3,3,NA,NA,1,1,0,0,1,96740
"1467",2,2,1,0,0,1,1,1,1,55347
"1468",10,10,NA,NA,1,1,1,0,0,30054
"1469",2,3,1,0,0,1,1,1,0,52803
"1470",4,4,0,0,1,1,1,1,0,90210
"1471",7,7,0,1,1,1,1,0,1,48166
"1472",7,7,0,1,1,1,0,1,1,32327
"1473",9,9,0,1,1,1,1,1,0,97267
"1474",7,6,0,1,1,1,0,0,0,37347
"1475",0,0,0,1,1,0,1,0,0,29456
"1476",0,0,NA,NA,0,1,1,1,0,80909
"1477",3,5,0,0,0,0,1,1,0,43002
"1478",5,5,0,0,0,0,0,0,0,8043
"1479",2,2,1,0,0,1,1,0,1,82431
