zip,density
1253,40.01751793
1254,66.75365703
1255,17.66204687
1256,19.30534245
1257,58.53456603
1258,14.49219204
1259,25.07304746
1260,95.57945042
1262,102.875187
1264,12.05879764
1266,56.15691694
1267,146.4420574
1270,24.4208676
1301,694.3627163
1330,45.18994179
1331,249.1920938
1337,69.74182629
1338,54.14012739
1339,26.15591691
1340,38.49984156
1341,51.36468083
1342,83.66042391
1343,15.39724902
1344,109.8723779
1346,25.38578777
1347,287.694974
1349,141.9648666
1350,11.28626061
1351,108.4774921
1354,108.9799477
1355,18.53102575
1360,88.43517573
1364,203.1301777
1366,31.60499938
1367,19.67138981
1368,30.13718274
1370,81.97675586
1373,190.3894706
1375,258.8896697
1376,1900.398406
1378,22.75065401
1379,26.91250952
1420,1330.507636
1430,164.6610238
1431,129.6936967
1432,839.5310279
1434,339.8977466
1436,347.6810839
1438,1031.365314
1440,846.3106231
1450,325.0091586
1451,248.1183358
1452,106.6932872
1453,1436.00281
1460,540.0956243
1462,381.2655931
1463,508.7168142
1464,480.2850673
1467,166.7546174
1468,187.8971963
1469,297.2335125
1473,205.3735219
1474,214.235306
1475,239.6620928
1501,1039.981885
1503,220.9374036
1504,814.9887133
1505,271.1537264
1506,218.0625241
1507,307.7306024
1510,2406.012378
1515,221.5568862
1516,231.2673451
1518,335.24969
1519,604.3804985
1520,774.1275372
1521,201.8057589
1522,202.1003786
1523,301.016357
1524,419.1549296
1525,645.8797327
1527,850.793243
1529,650.2242152
1531,48.05425946
1532,766.1290323
1534,642.9550126
1535,220.0488998
1536,825.9983211
1537,321.9246742
1540,583.363472
1541,96.38792397
1542,546.9448584
1543,227.1251139
1545,1702.058923
1550,824.408284
1560,1269.133726
1561,2682.926829
1562,355.994152
1564,254.8469221
1566,221.994921
1568,348.880597
1569,466.6093535
1570,1354.361874
1571,547.1489648
1581,887.6797513
1583,601.7439556
1585,178.2387476
1588,1130.035992
1590,277.265769
1602,3956.823305
1603,4412.051396
1604,5385.463581
1605,4647.465438
1606,3217.03204
1607,2637.713203
1608,8678.571429
1609,5869.371728
1610,11262.93509
1611,651.3654852
1612,316.3565132
1701,1840.733534
1702,4597.874444
1718,9978.723404
1719,485.7087303
1720,1083.599655
1721,1345.742092
1730,965.1773982
1731,1764.854614
1740,245.4390537
1741,317.8512938
1742,725.1084022
1745,994.9874687
1746,726.5754894
1747,1143.105782
